Asignatura;Curso;Semestre;Titulación
CÁLCULO PARA LA EDIFICACIÓN;1;1;Grado En Edificación
ECONOMÍA Y EMPRESA;1;1;Grado En Edificación
FUNDAMENTOS DE ESTRUCTURAS;1;1;Grado En Edificación
FUNDAMENTOS DE LA EXPRESIÓN GRÁFICA;1;1;Grado En Edificación
FUNDAMENTOS DE MATERIALES;1;1;Grado En Edificación
ÁLGEBRA LINEAL PARA LA EDIFICACIÓN;1;2;Grado En Edificación
CONSTRUCCIÓN I;1;2;Grado En Edificación
DIBUJO I;1;2;Grado En Edificación
FUNDAMENTOS FÍSICOS DE LAS INSTALACIONES;1;2;Grado En Edificación
GEOMETRÍA DESCRIPTIVA;1;2;Grado En Edificación
CONSTRUCCIÓN II;2;1;Grado En Edificación
DIBUJO II;2;1;Grado En Edificación
ESTRUCTURAS I;2;1;Grado En Edificación
INTRODUCCIÓN AL DERECHO PÚBLICO;2;1;Grado En Edificación
MATERIALES I;2;1;Grado En Edificación
CONSTRUCCIÓN III Y CONTROL DE CALIDAD I;2;2;Grado En Edificación
DIBUJO III;2;2;Grado En Edificación
INSTALACIONES I;2;2;Grado En Edificación
MATERIALES II;2;2;Grado En Edificación
TOPOGRAFÍA;2;2;Grado En Edificación
CONSTRUCCIÓN IV Y MANTENIMIENTO I;3;1;Grado En Edificación
ESTRUCTURAS II;3;1;Grado En Edificación
INSTALACIONES II;3;1;Grado En Edificación
ORGANIZACIÓN Y EQUIPOS DE OBRA;3;1;Grado En Edificación
CONSTRUCCIÓN V Y PREFABRICACIÓN;3;2;Grado En Edificación
ESTRUCTURAS III;3;2;Grado En Edificación
LEGISLACIÓN Y PREVENCIÓN I;3;2;Grado En Edificación
OFICINA TÉCNICA;3;2;Grado En Edificación
PRESUPUESTOS I;3;2;Grado En Edificación
MANTENIMIENTO II Y CONTROL DE CALIDAD II;4;1;Grado En Edificación
PATOLOGÍA Y REHABILITACIÓN;4;1;Grado En Edificación
PRESUPUESTOS II;4;1;Grado En Edificación
PROYECTOS;4;1;Grado En Edificación
PERITACIONES Y GESTIÓN URBANÍSTICA;4;2;Grado En Edificación
PREVENCIÓN II;4;2;Grado En Edificación
PROYECTO FIN DE GRADO;1000;3;Grado En Edificación
ACÚSTICA EN LA EDIFICACIÓN;10;1;Grado En Edificación
DOMÓTICA;10;1;Grado En Edificación
GESTIÓN FINANCIERA DE EMPRESAS DE EDIFICACIÓN;10;1;Grado En Edificación
LEVANTAMIENTO ARQUITECTÓNICO Y DE ESTRUCTURAS;10;1;Grado En Edificación
INTERIORISMO;10;2;Grado En Edificación
PRÁCTICAS EN EMPRESA;10;3;Grado En Edificación
ÁLGEBRA LINEAL;1;1;Grado En Ingeniería Civil
CÁLCULO INFINITESIMAL;1;1;Grado En Ingeniería Civil
DIBUJO;1;1;Grado En Ingeniería Civil
GEOLOGÍA;1;1;Grado En Ingeniería Civil
